titleId,title,averageRating,numVotes,startYear,runtimeMinutes,genre1,genre2,overview,poster_path,backdrop_path,popularity,production_companies_name,nconst_director,Director_name,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10
tt0113824,Si tu tends l'oreille,7.8,72237.0,1995.0,111.0,Animation,Drama,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'.",/5E3Hvbu0bg38ouYf6chGftVGqZ7.jpg,/r4xkyAUrMJLV0AE2eZJs2wKx0SK.jpg,32.581,"Hakuhodo, Nippon Television Network Corporation, Studio Ghibli, Tokuma Shoten",nm0464911,Yoshifumi Kondô,Minami Takayama, Maiko Kayama, Takashi Tachibana, Yoko Honna, Keiju Kobayashi, Yoshimi Nakajima, Shigeru Muroi, Shigeru Tsuyuguchi, Issei Takahashi, Yorie Yamashita
tt0113862,Professeur Holland,7.3,41627.0,1995.0,143.0,Drama,Music,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,/oUptKQLatCgywVDx0ETVhq7knHt.jpg,13.495,"Interscope Communications, Hollywood Pictures, PolyGram Filmed Entertainment, The Charlie Mopic Company",nm0378893,Stephen Herek,Jean Louisa Kelly, Olympia Dukakis, Glenne Headly, Jay Thomas, Terrence Howard, William H. Macy, Alicia Witt, Richard Dreyfuss, Damon Whitaker, Alexandra Boyd
tt0113957,Traque sur internet,6.0,73599.0,1995.0,114.0,Action,Crime,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.",/dtupntUFMD5iXBo8HLfALt2ET4R.jpg,/hPlL6FjbbZGZNfNaBePhOXSB9WY.jpg,13.62,Columbia Pictures,nm0005563,Irwin Winkler,Jeremy Northam, Sandra Bullock, Ken Howard, Daniel Schorr, Ray McKinnon, Robert Gossett, Wendy Gazelle, L. Scott Caldwell, Dennis Miller, Diane Baker
tt0114011,Souvenirs d'été,6.8,32351.0,1995.0,102.0,Comedy,Drama,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg,11.799,New Line Cinema,nm0322128,Lesli Linka Glatter,Rosie O'Donnell, Christina Ricci, Ashleigh Aston Moore, Walter Sparrow, Rita Wilson, Melanie Griffith, Demi Moore, Devon Sawa, Thora Birch, Gaby Hoffmann
tt0114057,Othello,6.8,10150.0,1995.0,123.0,Drama,Romance,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg,/7SqIfSVW3xKTk07FbUm4LrhOOeL.jpg,10.124,Castle Rock Entertainment,nm0662529,Oliver Parker,Nathaniel Parker, Anna Patrick, Irène Jacob, Michael Maloney, André Oumansky, Laurence Fishburne, Nicholas Farrell, Indra Ové, Kenneth Branagh, Michael Sheen
tt0114069,Alerte!,6.6,137500.0,1995.0,127.0,Action,Drama,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",/dxr5NoaIALZThSYeeaJKlMGCZlY.jpg,/yych1GDUoSs4r51o1feBnOn5szq.jpg,20.798,"Arnold Kopelson Productions, Kopelson Entertainment, Warner Bros. Pictures, Punch Productions",nm0000583,Wolfgang Petersen,Kevin Spacey, Dustin Hoffman, Susan Lee Hoffman, Cuba Gooding Jr., Morgan Freeman, Malick Bowens, Patrick Dempsey, Donald Sutherland, Zakes Mokae, Rene Russo
tt0114126,Jackie Chan Pilote de L'Extrême,6.3,9974.0,1995.0,110.0,Action,Crime,"In order to release his kidnapped sister, sports car mechanic Jackie Chan has to beat a super-criminal street racer.",/81D5xBlnTAdJs19dbkfw8eK0oWA.jpg,/mwt58ScrmiPUwgkR8NTEA26joMf.jpg,22.033,"Orange Sky Golden Harvest, Paragon Films Ltd.",nm0150906,Gordon Chan,Thorsten Nickel, Yûzô Kayama, Anita Yuen, Ken Lo, Michael Wong, Kenya Sawada, Hoi-Yan Woo, Jackie Chan, Yuen Chor, Dayo Wong
tt0114168,Powder,6.6,32531.0,1995.0,111.0,Drama,Fantasy,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,/4Fj7HwCq3M0UVYXZKU0sVz9OPaX.jpg,21.618,"Caravan Pictures, Hollywood Pictures",nm0759207,Victor Salva,Bradford Tatum, Ray Wise, Lance Henriksen, Jeff Goldblum, Brandon Smith, Susan Tyrrell, Mary Steenburgen, Sean Patrick Flanery, Esteban Powell, Missy Crider
tt0114194,The Prophecy,6.4,33280.0,1995.0,98.0,Action,Crime,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",/4ZWFhQipzBHJze2llzCzhrSIZsn.jpg,/yvD8uPr5VZNDacY6jbJpOYo0qPA.jpg,10.722,"NEO Motion Pictures, Overseas FilmGroup, Dimension Films, First Look International",nm0927074,Gregory Widen,Virginia Madsen, Steve Hytner, Viggo Mortensen, Amanda Plummer, Moriah 'Shining Dove' Snyder, Elias Koteas, J.C. Quinn, Christopher Walken, Eric Stoltz, Adam Goldberg
tt0114214,Mort ou vif,6.5,102562.0,1995.0,108.0,Action,Drama,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",/jhEmrXJpP6F3cqwyLjvgBgxxxFA.jpg,/wwdzmWC1Ra9SqPBrtCyRNJ4oYUO.jpg,16.555,"TriStar Pictures, IndieProd Company Productions",nm0000600,Sam Raimi,Sharon Stone, Russell Crowe, Lance Henriksen, Pat Hingle, Leonardo DiCaprio, Roberts Blossom, Tobin Bell, Keith David, Gene Hackman, Kevin Conway
tt0114287,Rob Roy,6.9,45555.0,1995.0,139.0,Adventure,Biography,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",/kWI2rF6RAnRtEjfBlZgsXumgOm5.jpg,/5GCUPT3yRkVjJ0uXJ66lR9Lrs1e.jpg,10.977,"Talisman Productions, United Artists",nm0001994,Michael Caton-Jones,Jessica Lange, Liam Neeson, Tim Roth, John Hurt, Brian McCardie, Gilbert Martin, Brian Cox, Vicki Masson, Eric Stoltz, Andrew Keir
tt0114319,Sabrina,6.3,44332.0,1995.0,127.0,Comedy,Drama,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg,12.81,"Mont Blanc Entertainment GmbH, Paramount, Scott Rudin Productions, Sandollar Productions, Mirage Enterprises, Constellation Entertainment, Worldwide",nm0001628,Sydney Pollack,Julia Ormond, John Wood, Nancy Marchand, Angie Dickinson, Lauren Holly, Miriam Colon, Richard Crenna, Greg Kinnear, Harrison Ford, Dana Ivey
tt0114369,Seven,8.6,1792240.0,1995.0,127.0,Crime,Drama,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/6yoghtyTpznpBik8EngEmJskVUO.jpg,/hh28CTWLdxTXA5yJgefZ6gUnFDo.jpg,43.124,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",nm0000399,David Fincher,Kevin Spacey, Morgan Freeman, Gwyneth Paltrow, Bob Mack, Brad Pitt, Peter Crombie, John Cassini, Reg E. Cathey, Daniel Zacapa, Andrew Kevin Walker
tt0114388,Raison et sentiments,7.7,125306.0,1995.0,136.0,Drama,Romance,"Based on Jane Austen's classic novel of the Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,/mZfkW31Y9a8DvISpO9nj5Tc7neo.jpg,19.532,"Mirage Enterprises, Columbia Pictures",nm0000487,Ang Lee,Emma Thompson, Elizabeth Spriggs, Tom Wilkinson, Gemma Jones, James Fleet, Kate Winslet, Robert Hardy, Harriet Walter, Myriam Emilie Francois, Hugh Grant
tt0114558,Strange Days,7.2,78250.0,1995.0,145.0,Crime,Drama,"In the last days of 1999, ex-cop turned street hustler Lenny Nero receives a disc which contains the memories of the murder of a prostitute. With the help of bodyguard Mace, he starts to investigate and is pulled deeper and deeper in a whirl of murder, blackmail and intrigue. Can the pair live to see the new millennium?",/dwstlGA74LujvsLpGGaxtBvgx67.jpg,/lPvwp0esgdnb6L7ypTbgwhhAMxz.jpg,11.782,"Universal Pictures, 20th Century Fox, Lightstorm Entertainment",nm0000941,Kathryn Bigelow,Ralph Fiennes, Tom Sizemore, William Fichtner, Glenn Plummer, Richard Edson, Juliette Lewis, Brigitte Bako, Angela Bassett, Michael Wincott, Vincent D'Onofrio
